# n,counts
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,85
9,996
10,1509
11,1462
12,1451
13,1581
14,1683
15,1627
16,1680
17,1658
18,1622
19,1595
20,1677
21,1780
22,1632
23,1652
24,1650
25,1707
26,1741
27,1664
28,1743
29,1667
30,1767
31,1773
32,1702
33,1697
34,1707
35,1717
36,1729
37,1783
38,1738
39,1774
40,1753
41,1769
42,1703
43,1684
44,1762
45,1738
46,1867
47,1904
48,1924
49,2063
50,2127
51,2358
52,2241
53,2240
54,2133
55,2131
56,2039
57,2023
58,2070
59,1924
60,1932
61,1938
62,1829
63,1757
64,1706
65,1734
66,1679
67,1662
68,1695
69,1682
70,1686
71,1759
72,1658
73,1703
74,1636
75,1629
76,1775
77,1599
78,1704
79,1683
80,1713
81,1707
82,1684
83,1715
84,1772
85,1753
86,1765
87,1701
88,1764
89,1675
90,1727
91,1694
92,1663
93,1769
94,1772
95,1680
96,1710
97,1741
98,1753
99,1765
100,1872
101,1788
102,1699
103,1758
104,1756
105,1792
106,1850
107,1817
108,1782
109,1787
110,1761
111,1727
112,1714
113,1829
114,1676
115,1730
116,1738
117,1765
118,1805
119,1759
120,1743
121,1842
122,1855
123,1833
124,1895
125,1862
126,1922
127,1967
128,1925
129,1945
130,1934
131,2045
132,2046
133,2134
134,2240
135,2267
136,2321
137,2320
138,2496
139,2650
140,2570
141,2733
142,2763
143,2866
144,2807
145,2772
146,2854
147,2722
148,2857
149,2732
150,2654
151,2736
152,2667
153,2641
154,2595
155,2549
156,2563
157,2580
158,2492
159,2511
160,2364
161,2433
162,2473
163,2428
164,2369
165,2327
166,2268
167,2264
168,2283
169,2236
170,2171
171,2202
172,2254
173,2103
174,2243
175,2132
176,2139
177,2110
178,2151
179,2113
180,2035
181,2034
182,2109
183,2024
184,2009
185,1928
186,2064
187,1999
188,2083
189,2006
190,2022
191,1986
192,1987
193,2003
194,1925
195,1995
196,2034
197,2022
198,2048
199,1947
200,1915
201,1954
202,2012
203,1918
204,1921
205,1824
206,1854
207,1917
208,1791
209,1872
210,1867
211,1795
212,1766
213,1770
214,1829
215,1727
216,1774
217,1774
218,1739
219,1799
220,1800
221,1686
222,1707
223,1751
224,1759
225,1764
